Country Name,Happiness Score,Year,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,per_si_allsi.cov_q1_tot,per_si_allsi.cov_q5_tot,per_allsp.cov_pop_tot,per_sa_allsa.cov_pop_tot,SP.DYN.CDRT.IN,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,NV.IND.MANF.KD.ZG,SH.DYN.NMRT,SH.DYN.MORT,SP.POP.TOTL,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
Afghanistan,3.575,2015,71.5,..,..,..,2.64374189312687,-10.28844725,88.7687273393836,33.98,..,..,..,..,6.924,56.69549,24.3563,37.0225695736427,16.44546401,19907111418.9938,1.45131465458005,2.94818036425211,..,0.409391082824413,41.5,73.1,33736494,37.72088,44.32877,18.4234771693218,652860,7.58538233129798,55.1255265979591,..,..
Afghanistan,3.36,2016,84.1371383666992,..,..,..,2.64374189312687,-10.87939183,86.5709321507136,33.214,..,..,..,..,6.747,43.30205,21.83389,..,..,19046357714.4928,2.2603142045464,4.95403313645523,..,1.08793953115092,40.3,70.4,34656032,42.68464,..,..,652860,..,47.6590554256105,..,..
Afghanistan,3.7939999103546103,2017,..,..,..,..,..,..,84.5872779704028,..,..,..,..,..,..,44.1906,22.25369,..,..,19543976895.4248,2.66529204636834,7.15570536499632,..,0.748720444738609,39.2,67.9,35530081,38.66756,44.00995,..,652860,..,51.2368807956764,..,..
Albania,4.959,2015,100,95.59661,4.61846802464052,4.92356707507196,3.22728502181027,15.80204856,44.0166438612638,11.879,..,..,..,..,7.217,56.76693,21.58166,24.4461757489854,0.76512774,11386931489.7968,2.21999999999991,8.19454970239983,..,4.99999999999999,5.9,9.4,2880703,13.50589,18.61557,38.6152104692153,28750,18.5157898553099,71.8010161004583,17.0799999237061,..
Albania,4.655,2016,100,95.65855,3.19661056052152,3.361733691385,3.22728502181027,16.6463675,44.0015401014685,11.816,..,..,..,..,7.379,..,25.36938,23.9117146844842,..,11883682170.8236,3.35000000000005,7.45507035751882,..,4.29999999999986,6,9.1,2876101,12.22137,18.19844,..,28750,17.5571777277223,74.669259671744,..,..
Albania,4.64400005340576,2017,..,97.06175,..,..,..,..,44.0595057133346,..,..,..,..,..,..,60.21674,18.62398,23.8331513066639,..,13038538300.2644,3.83554384465101,8.59412732164499,..,13.455279855652,6.1,8.8,2873457,11.60265,17.94478,..,28750,18.8602350719885,78.0814560759772,13.75,..
Algeria,5.605,2015,99.3367080688477,99.2671,-2.76044170117467,-4.60959309801964,4.4671956,36.80385887,52.7249187566745,23.9,..,..,..,..,4.773,..,..,..,0.02604974,165979277276.907,3.76346695783126,37.4289678801955,..,1.84288495687011,15.5,24.9,39871528,..,23.83613,0.058958684091815,2381740,..,59.6951291204194,11.2061004638672,..
Algeria,6.355,2016,99.439567565918,99.23121,-4.13398193588279,-5.8681049935129,4.4671956,35.52823676,53.9078874261101,23.132,..,..,..,..,4.765,..,..,..,..,160129866569.935,3.29999999975597,36.634345612344,..,6.02719147163479,15.2,24.5,40606052,..,24.2355,..,2381740,..,55.8922435232785,10.2024002075195,..
Algeria,5.872000217437741,2017,..,99.44293,..,..,..,..,55.0282166293324,..,..,..,..,..,..,..,..,..,..,167555280113.181,1.60000000052275,37.5361408087886,..,0.065230056523106,14.9,24,41318142,..,24.22505,..,2381740,..,56.1403520848947,13.5699996948242,..
Angola,4.033,2015,42,..,10.4848834385896,6.76162051144182,3.57,-0.451391478,97.5761986937093,42.321,..,..,..,..,8.683,..,..,20.818831842683,2.7696619,116193649124.475,0.94357561306073,30.8231673301691,..,12.0243365280067,30.6,88.9,27859305,..,50.02951,49.5682103295777,1246700,11.0020191366716,62.8885207849744,..,..
Angola,3.866,2016,40.5206069946289,..,2.61501393452414,-0.783082867159763,3.57,3.061930884,97.2742116775173,41.819,..,..,..,..,8.513,..,..,17.5116635350998,..,101123851090.473,-2.58009724295775,30.0935222813957,..,11.6381105550182,29.9,84.6,28813463,26.76619,..,..,1246700,9.73251223441435,53.3701552785783,..,..
Angola,3.79500007629395,2017,..,..,..,..,..,..,96.8985180613422,..,..,..,..,..,..,..,..,16.6711371453758,..,122123822333.73,-0.147207422348259,29.8816832372997,..,..,29.1,81.1,29784193,..,..,..,1246700,9.22377745370769,52.2568214486025,..,..
Argentina,6.574,2015,99.9952087402344,99.7343,2.19356665853401,1.16675324575732,5.05731390486252,14.60355782,56.5490070488899,17.364,..,..,..,..,7.57,30.04134,41.33272,25.0083932347048,0.57692067,594749285413.212,2.73115982828946,15.9957828960867,99.5597,0.765932390755125,6.7,11.4,43417765,..,..,10.040077613914,2780400,12.3365069418291,22.4862260889792,..,..
Argentina,6.65,2016,100,99.34152,-2.17217102244308,-3.13079491756399,5.05731390486252,13.96123633,56.5422464275751,17.172,..,..,..,..,7.564,30.07402,40.93612,26.3059150177128,..,554860945013.62,-1.82254217028903,16.0727734450585,99.5027099999999,-5.19941824629092,6.3,10.9,43847430,..,..,..,2780400,12.1555053704666,26.1219138061676,..,..
Argentina,6.59899997711182,2017,..,..,..,..,..,..,56.4547646794728,..,..,..,..,..,..,..,..,24.5226515151507,..,637430331479.469,2.85446613725399,15.9823020434667,..,3.03191008766062,5.9,10.4,44271041,..,..,..,2780400,11.0478010766613,25.0208364920701,8.34739971160889,..
Armenia,4.35,2015,100,92.80933,-2.1063902247966,-2.46649184905752,2.70019284717504,17.42676423,44.4122587662516,13.808,..,..,..,..,9.694,19.3593,..,25.0779813488419,1.0829009,10553337672.9872,3.20000000000005,8.80828526547093,..,-5.5,7.4,14,2916950,..,..,15.7920038357833,29740,20.931220827141,71.5932653468932,..,..
Armenia,4.36,2016,100,92.32759,-2.18266795532173,-2.44573788309273,2.70019284717504,15.86417449,44.8949433189816,13.456,..,..,..,..,9.688,20.66574,51.07427,25.7115181584805,..,10546135160.031,0.200000000000003,9.24953133265322,..,11.1000000000001,7,13.3,2924816,..,..,..,29740,21.2773752756378,75.9178800280663,..,..
Armenia,4.37599992752075,2017,..,92.39764,..,..,..,..,45.431545263208,..,..,..,..,..,..,..,..,22.6118118808271,..,11536590635.8268,7.49999999999989,8.43363812414353,..,5.89999999999986,6.7,12.6,2930450,..,..,..,29740,20.764203925029,86.8680941833861,17.7045001983643,..
Australia,7.284,2015,100,97.1200999999999,1.40175548733407,-0.072012122680846,4.91726265807917,23.60243089,51.0854579040657,12.8,..,..,..,..,6.6,31.78434,30.52541,26.7895601589733,0,1349034029453.37,2.35113644074406,24.6218709217444,..,-1.41569403420225,2.3,3.8,23850784,..,..,9.18050295980786,7741220,22.0428098117434,41.5473873260458,6.05569982528687,..
Australia,7.313,2016,100,96.783,0.536792689715497,-0.958232065058894,4.91726265807917,21.90645589,51.8630483195639,12.5,..,..,..,..,6.5,..,..,26.9626368700003,..,1208039015868.39,2.82731051096303,23.0301324894373,..,-2.36202148702634,2.2,3.7,24210809,..,..,..,7741220,22.2892931084765,40.7714731948103,5.71080017089844,..
Australia,7.28399991989136,2017,..,..,..,..,..,..,52.7093363336846,..,..,..,..,..,..,..,..,26.706707151666,..,1323421072479.07,1.95757542160659,24.6361251114135,..,-1.79947564947962,2.1,3.5,24598933,..,..,..,7741220,22.2131799644844,41.8929700625283,5.59380006790161,..
Austria,7.2,2015,100,..,0.862117671171589,-0.26222543076841,5.21872049640607,25.67132514,49.1656666425614,9.8,..,..,..,..,9.6,16.56793,39.87736,46.1915253646393,..,382065930307.978,1.09185423166194,27.499755655533,..,0.647181388570857,2.3,3.7,8642699,9.57663,10.58415,34.3949917477854,83879.00390625,26.7793872371983,102.136010417855,5.72270011901855,..
Austria,7.119,2016,100,..,2.11329626330425,1.01499604901589,5.21872049640607,26.02587354,49.5298368459148,10,..,..,..,..,9.2,..,..,45.57307207773,..,390799991147.468,1.45091543821485,27.2942147358658,..,1.29132987519694,2.2,3.6,8736668,9.41777,10.30374,..,83879.00390625,25.6665724682797,101.167012721198,6.01380014419556,..
